,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
4567,4567,2023-08-22 22:00:00,OANDA:AUDCAD,0.87074,0.87102,0.87063,0.87095,508.0,Interval.in_15_minute,51746400.0,,None
4568,4568,2023-08-22 21:45:00,OANDA:AUDCAD,0.87093,0.87106,0.87069,0.87074,439.0,Interval.in_15_minute,51745500.0,,None
4569,4569,2023-08-22 21:30:00,OANDA:AUDCAD,0.87089,0.87101,0.8708,0.87093,575.0,Interval.in_15_minute,51744600.0,,None
4570,4570,2023-08-22 21:15:00,OANDA:AUDCAD,0.87082,0.87096,0.87062,0.87089,539.0,Interval.in_15_minute,51743700.0,,None
4571,4571,2023-08-22 21:00:00,OANDA:AUDCAD,0.87031,0.87088,0.87022,0.87082,700.0,Interval.in_15_minute,51742800.0,,None
4572,4572,2023-08-22 20:45:00,OANDA:AUDCAD,0.87042,0.87044,0.87012,0.87031,508.0,Interval.in_15_minute,51741900.0,,None
4573,4573,2023-08-22 20:30:00,OANDA:AUDCAD,0.87036,0.87059,0.87034,0.87042,636.0,Interval.in_15_minute,51741000.0,,None
4574,4574,2023-08-22 20:15:00,OANDA:AUDCAD,0.87044,0.87048,0.87022,0.87036,671.0,Interval.in_15_minute,51740100.0,,None
4575,4575,2023-08-22 20:00:00,OANDA:AUDCAD,0.87025,0.87072,0.87014,0.87044,689.0,Interval.in_15_minute,51739200.0,,None
4576,4576,2023-08-22 19:45:00,OANDA:AUDCAD,0.8705,0.87058,0.87023,0.87025,586.0,Interval.in_15_minute,51738300.0,,None
4577,4577,2023-08-22 19:30:00,OANDA:AUDCAD,0.87029,0.8705,0.87018,0.8705,565.0,Interval.in_15_minute,51737400.0,,None
4578,4578,2023-08-22 19:15:00,OANDA:AUDCAD,0.8705,0.87056,0.87026,0.87029,601.0,Interval.in_15_minute,51736500.0,,None
4579,4579,2023-08-22 19:00:00,OANDA:AUDCAD,0.87038,0.87062,0.87023,0.8705,766.0,Interval.in_15_minute,51735600.0,,None
4580,4580,2023-08-22 18:45:00,OANDA:AUDCAD,0.87074,0.87098,0.87034,0.87038,910.0,Interval.in_15_minute,51734700.0,,None
4581,4581,2023-08-22 18:30:00,OANDA:AUDCAD,0.87045,0.8708,0.87032,0.87074,799.0,Interval.in_15_minute,51733800.0,,None
4582,4582,2023-08-22 18:15:00,OANDA:AUDCAD,0.87067,0.87082,0.87044,0.87045,951.0,Interval.in_15_minute,51732900.0,,None
4583,4583,2023-08-22 18:00:00,OANDA:AUDCAD,0.87094,0.87103,0.87046,0.87067,1351.0,Interval.in_15_minute,51732000.0,,None
4584,4584,2023-08-22 17:45:00,OANDA:AUDCAD,0.87135,0.87164,0.87091,0.87094,1771.0,Interval.in_15_minute,51731100.0,,None
4585,4585,2023-08-22 17:30:00,OANDA:AUDCAD,0.86992,0.87135,0.86978,0.87135,1828.0,Interval.in_15_minute,51730200.0,,None
4586,4586,2023-08-22 17:15:00,OANDA:AUDCAD,0.86988,0.87034,0.8698,0.86992,1542.0,Interval.in_15_minute,51729300.0,,None
4587,4587,2023-08-22 17:00:00,OANDA:AUDCAD,0.869,0.87002,0.86889,0.86988,2010.0,Interval.in_15_minute,51728400.0,,None
4588,4588,2023-08-22 16:45:00,OANDA:AUDCAD,0.86943,0.86962,0.86871,0.869,2095.0,Interval.in_15_minute,51727500.0,,None
4589,4589,2023-08-22 16:30:00,OANDA:AUDCAD,0.86992,0.87032,0.8692,0.86943,1964.0,Interval.in_15_minute,51726600.0,,None
4590,4590,2023-08-22 16:15:00,OANDA:AUDCAD,0.87034,0.87074,0.8698,0.86992,1099.0,Interval.in_15_minute,51725700.0,,None
4591,4591,2023-08-22 16:00:00,OANDA:AUDCAD,0.87008,0.87073,0.86975,0.87034,1485.0,Interval.in_15_minute,51724800.0,,None
4592,4592,2023-08-22 15:45:00,OANDA:AUDCAD,0.87014,0.87032,0.86972,0.87008,1361.0,Interval.in_15_minute,51723900.0,,None
4593,4593,2023-08-22 15:30:00,OANDA:AUDCAD,0.8714,0.8717,0.87014,0.87014,1197.0,Interval.in_15_minute,51723000.0,,None
4594,4594,2023-08-22 15:15:00,OANDA:AUDCAD,0.8719,0.87204,0.87118,0.8714,1105.0,Interval.in_15_minute,51722100.0,,None
4595,4595,2023-08-22 15:00:00,OANDA:AUDCAD,0.87191,0.87214,0.8716,0.8719,822.0,Interval.in_15_minute,51721200.0,,None
4596,4596,2023-08-22 14:45:00,OANDA:AUDCAD,0.8718,0.87214,0.87158,0.87191,764.0,Interval.in_15_minute,51720300.0,,None
4597,4597,2023-08-22 14:30:00,OANDA:AUDCAD,0.8718,0.87184,0.87126,0.8718,771.0,Interval.in_15_minute,51719400.0,,None
4598,4598,2023-08-22 14:15:00,OANDA:AUDCAD,0.87155,0.87202,0.87151,0.8718,692.0,Interval.in_15_minute,51718500.0,,None
4599,4599,2023-08-22 14:00:00,OANDA:AUDCAD,0.87216,0.87216,0.87152,0.87155,868.0,Interval.in_15_minute,51717600.0,,None
4600,4600,2023-08-22 13:45:00,OANDA:AUDCAD,0.87224,0.87229,0.87197,0.87216,657.0,Interval.in_15_minute,51716700.0,,None
4601,4601,2023-08-22 13:30:00,OANDA:AUDCAD,0.8724,0.8727,0.87214,0.87224,700.0,Interval.in_15_minute,51715800.0,,None
4602,4602,2023-08-22 13:15:00,OANDA:AUDCAD,0.87274,0.87298,0.87222,0.8724,1048.0,Interval.in_15_minute,51714900.0,,None
4603,4603,2023-08-22 13:00:00,OANDA:AUDCAD,0.87286,0.87324,0.8727,0.87274,722.0,Interval.in_15_minute,51714000.0,,None
4604,4604,2023-08-22 12:45:00,OANDA:AUDCAD,0.87242,0.87304,0.87234,0.87286,646.0,Interval.in_15_minute,51713100.0,,None
4605,4605,2023-08-22 12:30:00,OANDA:AUDCAD,0.87144,0.87258,0.87139,0.87242,683.0,Interval.in_15_minute,51712200.0,,None
4606,4606,2023-08-22 12:15:00,OANDA:AUDCAD,0.8712,0.87156,0.8708,0.87144,943.0,Interval.in_15_minute,51711300.0,,None
4607,4607,2023-08-22 12:00:00,OANDA:AUDCAD,0.87106,0.87141,0.8709,0.8712,722.0,Interval.in_15_minute,51710400.0,,None
4608,4608,2023-08-22 11:45:00,OANDA:AUDCAD,0.87128,0.87134,0.87082,0.87106,792.0,Interval.in_15_minute,51709500.0,,None
4609,4609,2023-08-22 11:30:00,OANDA:AUDCAD,0.87108,0.87151,0.87103,0.87128,637.0,Interval.in_15_minute,51708600.0,,None
