,datetime,close_price,ScalpPro,NW,UMA,Volume
1556,2023-10-10 22:32:00,0.6425,long,long,long,long
1557,2023-10-10 22:31:00,0.6425,long,long,long,long
1558,2023-10-10 22:30:00,0.64246,long,long,long,neutral
1559,2023-10-10 22:29:00,0.64238,long,long,long,neutral
1560,2023-10-10 22:28:00,0.64242,long,long,long,long
1561,2023-10-10 22:27:00,0.64238,long,long,long,neutral
1562,2023-10-10 22:26:00,0.64232,long,long,long,neutral
1563,2023-10-10 22:25:00,0.64235,long,long,long,long
1564,2023-10-10 22:24:00,0.64226,long,long,short,neutral
1565,2023-10-10 22:23:00,0.6421,long,long,short,neutral
1566,2023-10-10 22:22:00,0.6422,long,long,short,long
1567,2023-10-10 22:21:00,0.64208,long,long,short,neutral
1568,2023-10-10 22:20:00,0.64205,long,long,short,short
1569,2023-10-10 22:19:00,0.6423,long,long,short,neutral
1570,2023-10-10 22:18:00,0.64235,long,long,long,neutral
1571,2023-10-10 22:17:00,0.6423,long,long,long,neutral
1572,2023-10-10 22:16:00,0.64236,long,long,long,long
1573,2023-10-10 22:15:00,0.6423,long,long,short,neutral
1574,2023-10-10 22:14:00,0.6421,long,long,short,neutral
1575,2023-10-10 22:13:00,0.64215,long,long,short,neutral
1576,2023-10-10 22:12:00,0.64213,long,long,short,short
1577,2023-10-10 22:11:00,0.64216,long,long,short,neutral
1578,2023-10-10 22:10:00,0.64222,long,long,short,long
1579,2023-10-10 22:09:00,0.64217,long,long,short,neutral
1580,2023-10-10 22:08:00,0.6421,long,long,short,neutral
1581,2023-10-10 22:07:00,0.64213,long,long,short,neutral
1582,2023-10-10 22:06:00,0.64212,long,long,short,short
1583,2023-10-10 22:05:00,0.64221,long,long,short,short
1584,2023-10-10 22:04:00,0.64238,long,long,short,neutral
1585,2023-10-10 22:03:00,0.64242,long,long,short,neutral
1586,2023-10-10 22:02:00,0.64237,long,long,long,short
1587,2023-10-10 22:01:00,0.64238,long,long,long,neutral
1588,2023-10-10 22:00:00,0.64244,long,long,long,long
1589,2023-10-10 21:59:00,0.64236,long,long,long,long
1590,2023-10-10 21:58:00,0.64236,long,long,long,long
1591,2023-10-10 21:57:00,0.64227,long,long,long,long
1592,2023-10-10 21:56:00,0.64222,long,long,short,neutral
1593,2023-10-10 21:55:00,0.64218,long,long,short,neutral
1594,2023-10-10 21:54:00,0.64225,long,long,long,neutral
1595,2023-10-10 21:53:00,0.64224,long,long,long,neutral
1596,2023-10-10 21:52:00,0.64242,long,long,long,long
1597,2023-10-10 21:51:00,0.64242,long,long,long,neutral
1598,2023-10-10 21:50:00,0.64236,long,long,long,short
1599,2023-10-10 21:49:00,0.64247,long,long,long,neutral
1600,2023-10-10 21:48:00,0.64257,long,long,long,neutral
1601,2023-10-10 21:47:00,0.6424,long,long,long,short
1602,2023-10-10 21:46:00,0.64244,long,long,long,neutral
1603,2023-10-10 21:45:00,0.64256,long,short,long,neutral
1604,2023-10-10 21:44:00,0.64245,long,long,long,neutral
1605,2023-10-10 21:43:00,0.64247,long,long,long,long
1606,2023-10-10 21:42:00,0.64234,long,long,long,long
1607,2023-10-10 21:41:00,0.6423,long,long,long,long
1608,2023-10-10 21:40:00,0.64226,long,long,long,long
