,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2641,2023-10-19 16:42:00,OANDA:EURUSD,1.05797,1.05804,1.05748,1.05762,345.0,Interval.in_3_minute,56738520.0
2642,2023-10-19 16:45:00,OANDA:EURUSD,1.05762,1.0577,1.0573,1.0575,439.0,Interval.in_3_minute,56738700.0
2643,2023-10-19 16:48:00,OANDA:EURUSD,1.0575,1.05753,1.05722,1.05736,396.0,Interval.in_3_minute,56738880.0
2644,2023-10-19 16:51:00,OANDA:EURUSD,1.05736,1.05767,1.05712,1.05743,365.0,Interval.in_3_minute,56739060.0
2645,2023-10-19 16:54:00,OANDA:EURUSD,1.05743,1.05769,1.0573,1.0575,420.0,Interval.in_3_minute,56739240.0
2646,2023-10-19 16:57:00,OANDA:EURUSD,1.0575,1.05774,1.05746,1.05754,248.0,Interval.in_3_minute,56739420.0
2647,2023-10-19 17:00:00,OANDA:EURUSD,1.05754,1.05793,1.05712,1.05718,471.0,Interval.in_3_minute,56739600.0
2648,2023-10-19 17:03:00,OANDA:EURUSD,1.05718,1.05742,1.05713,1.05722,380.0,Interval.in_3_minute,56739780.0
2649,2023-10-19 17:06:00,OANDA:EURUSD,1.05722,1.05722,1.05674,1.05675,394.0,Interval.in_3_minute,56739960.0
2650,2023-10-19 17:09:00,OANDA:EURUSD,1.05675,1.05726,1.05672,1.05699,335.0,Interval.in_3_minute,56740140.0
2651,2023-10-19 17:12:00,OANDA:EURUSD,1.05699,1.0573,1.05688,1.05722,262.0,Interval.in_3_minute,56740320.0
2652,2023-10-19 17:15:00,OANDA:EURUSD,1.05722,1.05726,1.05687,1.05689,307.0,Interval.in_3_minute,56740500.0
2653,2023-10-19 17:18:00,OANDA:EURUSD,1.05689,1.05744,1.05668,1.05733,360.0,Interval.in_3_minute,56740680.0
2654,2023-10-19 17:21:00,OANDA:EURUSD,1.05733,1.05746,1.05702,1.05742,364.0,Interval.in_3_minute,56740860.0
2655,2023-10-19 17:24:00,OANDA:EURUSD,1.05742,1.05754,1.05712,1.05722,310.0,Interval.in_3_minute,56741040.0
2656,2023-10-19 17:27:00,OANDA:EURUSD,1.05722,1.05735,1.05706,1.05706,336.0,Interval.in_3_minute,56741220.0
2657,2023-10-19 17:30:00,OANDA:EURUSD,1.05706,1.05728,1.05676,1.05678,355.0,Interval.in_3_minute,56741400.0
2658,2023-10-19 17:33:00,OANDA:EURUSD,1.05678,1.05692,1.05656,1.05684,357.0,Interval.in_3_minute,56741580.0
2659,2023-10-19 17:36:00,OANDA:EURUSD,1.05684,1.0571,1.05667,1.05684,401.0,Interval.in_3_minute,56741760.0
2660,2023-10-19 17:39:00,OANDA:EURUSD,1.05684,1.05725,1.05684,1.05696,470.0,Interval.in_3_minute,56741940.0
2661,2023-10-19 17:42:00,OANDA:EURUSD,1.05696,1.05719,1.0569,1.05703,368.0,Interval.in_3_minute,56742120.0
2662,2023-10-19 17:45:00,OANDA:EURUSD,1.05703,1.05715,1.05672,1.05706,325.0,Interval.in_3_minute,56742300.0
2663,2023-10-19 17:48:00,OANDA:EURUSD,1.05706,1.05707,1.05662,1.0569,357.0,Interval.in_3_minute,56742480.0
2664,2023-10-19 17:51:00,OANDA:EURUSD,1.0569,1.05705,1.05655,1.05658,346.0,Interval.in_3_minute,56742660.0
2665,2023-10-19 17:54:00,OANDA:EURUSD,1.05658,1.0569,1.05656,1.05683,397.0,Interval.in_3_minute,56742840.0
2666,2023-10-19 17:57:00,OANDA:EURUSD,1.05683,1.05692,1.05676,1.0569,362.0,Interval.in_3_minute,56743020.0
2667,2023-10-19 18:00:00,OANDA:EURUSD,1.0569,1.05719,1.05677,1.05713,421.0,Interval.in_3_minute,56743200.0
2668,2023-10-19 18:03:00,OANDA:EURUSD,1.05713,1.05727,1.05669,1.05727,217.0,Interval.in_3_minute,56743380.0
2669,2023-10-19 18:06:00,OANDA:EURUSD,1.05727,1.05768,1.05714,1.0575,424.0,Interval.in_3_minute,56743560.0
2670,2023-10-19 18:09:00,OANDA:EURUSD,1.0575,1.0577,1.05734,1.05765,332.0,Interval.in_3_minute,56743740.0
2671,2023-10-19 18:12:00,OANDA:EURUSD,1.05765,1.0578,1.05743,1.0575,356.0,Interval.in_3_minute,56743920.0
2672,2023-10-19 18:15:00,OANDA:EURUSD,1.0575,1.0575,1.05726,1.05736,371.0,Interval.in_3_minute,56744100.0
2673,2023-10-19 18:18:00,OANDA:EURUSD,1.05736,1.05742,1.05688,1.05692,242.0,Interval.in_3_minute,56744280.0
2674,2023-10-19 18:21:00,OANDA:EURUSD,1.05692,1.05752,1.0568,1.05743,349.0,Interval.in_3_minute,56744460.0
2675,2023-10-19 18:24:00,OANDA:EURUSD,1.05743,1.05778,1.05743,1.05762,349.0,Interval.in_3_minute,56744640.0
2676,2023-10-19 18:27:00,OANDA:EURUSD,1.05762,1.05764,1.0573,1.05732,262.0,Interval.in_3_minute,56744820.0
2677,2023-10-19 18:30:00,OANDA:EURUSD,1.05732,1.05762,1.05726,1.05747,257.0,Interval.in_3_minute,56745000.0
2678,2023-10-19 18:33:00,OANDA:EURUSD,1.05747,1.0577,1.05738,1.05758,351.0,Interval.in_3_minute,56745180.0
2679,2023-10-19 18:36:00,OANDA:EURUSD,1.05758,1.05774,1.05751,1.05767,272.0,Interval.in_3_minute,56745360.0
2680,2023-10-19 18:39:00,OANDA:EURUSD,1.05767,1.05787,1.05766,1.05777,257.0,Interval.in_3_minute,56745540.0
2681,2023-10-19 18:42:00,OANDA:EURUSD,1.05777,1.05783,1.05762,1.0578,228.0,Interval.in_3_minute,56745720.0
