,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2618,2618,2023-10-24 23:10:00,OANDA:AUDCAD,0.87305,0.87313,0.87305,0.87312,17.0,Interval.in_1_minute,57193800.0
2619,2619,2023-10-24 23:11:00,OANDA:AUDCAD,0.87312,0.87316,0.873095,0.87312,7.0,Interval.in_1_minute,57193860.0
2620,2620,2023-10-24 23:12:00,OANDA:AUDCAD,0.87312,0.87312,0.87308,0.8731,8.0,Interval.in_1_minute,57193920.0
2621,2621,2023-10-24 23:13:00,OANDA:AUDCAD,0.8731,0.8731,0.87306,0.87306,1.0,Interval.in_1_minute,57193980.0
2622,2622,2023-10-24 23:14:00,OANDA:AUDCAD,0.87306,0.87306,0.87295,0.87298,11.0,Interval.in_1_minute,57194040.0
2623,2623,2023-10-24 23:15:00,OANDA:AUDCAD,0.87298,0.873085,0.872975,0.87308,13.0,Interval.in_1_minute,57194100.0
2624,2624,2023-10-24 23:16:00,OANDA:AUDCAD,0.87308,0.87313,0.87305,0.87312,31.0,Interval.in_1_minute,57194160.0
2625,2625,2023-10-24 23:17:00,OANDA:AUDCAD,0.87312,0.87313,0.87304,0.87309,24.0,Interval.in_1_minute,57194220.0
2626,2626,2023-10-24 23:18:00,OANDA:AUDCAD,0.87309,0.87325,0.87309,0.8732,18.0,Interval.in_1_minute,57194280.0
2627,2627,2023-10-24 23:19:00,OANDA:AUDCAD,0.8732,0.873245,0.87318,0.87318,12.0,Interval.in_1_minute,57194340.0
2628,2628,2023-10-24 23:20:00,OANDA:AUDCAD,0.87318,0.87336,0.87318,0.87332,8.0,Interval.in_1_minute,57194400.0
2629,2629,2023-10-24 23:21:00,OANDA:AUDCAD,0.87332,0.87338,0.87331,0.87338,7.0,Interval.in_1_minute,57194460.0
2630,2630,2023-10-24 23:22:00,OANDA:AUDCAD,0.87338,0.87342,0.87337,0.8734,28.0,Interval.in_1_minute,57194520.0
2631,2631,2023-10-24 23:23:00,OANDA:AUDCAD,0.8734,0.87341,0.873375,0.87341,9.0,Interval.in_1_minute,57194580.0
2632,2632,2023-10-24 23:24:00,OANDA:AUDCAD,0.87341,0.87348,0.87338,0.87344,14.0,Interval.in_1_minute,57194640.0
2633,2633,2023-10-24 23:25:00,OANDA:AUDCAD,0.87344,0.87345,0.87336,0.87338,12.0,Interval.in_1_minute,57194700.0
2634,2634,2023-10-24 23:26:00,OANDA:AUDCAD,0.87338,0.8734,0.87325,0.87329,23.0,Interval.in_1_minute,57194760.0
2635,2635,2023-10-24 23:27:00,OANDA:AUDCAD,0.87329,0.87333,0.87327,0.8733,18.0,Interval.in_1_minute,57194820.0
2636,2636,2023-10-24 23:28:00,OANDA:AUDCAD,0.8733,0.87333,0.87324,0.87328,32.0,Interval.in_1_minute,57194880.0
2637,2637,2023-10-24 23:29:00,OANDA:AUDCAD,0.87328,0.87328,0.87316,0.87324,32.0,Interval.in_1_minute,57194940.0
2638,2638,2023-10-24 23:30:00,OANDA:AUDCAD,0.87324,0.87334,0.87324,0.87334,25.0,Interval.in_1_minute,57195000.0
2639,2639,2023-10-24 23:31:00,OANDA:AUDCAD,0.87334,0.87334,0.87327,0.87327,19.0,Interval.in_1_minute,57195060.0
2640,2640,2023-10-24 23:32:00,OANDA:AUDCAD,0.87327,0.87332,0.873255,0.87332,12.0,Interval.in_1_minute,57195120.0
2641,2641,2023-10-24 23:33:00,OANDA:AUDCAD,0.87332,0.87334,0.87327,0.8733,20.0,Interval.in_1_minute,57195180.0
2642,2642,2023-10-24 23:34:00,OANDA:AUDCAD,0.8733,0.8733,0.87322,0.87328,14.0,Interval.in_1_minute,57195240.0
2643,2643,2023-10-24 23:35:00,OANDA:AUDCAD,0.87328,0.87328,0.8732,0.8732,17.0,Interval.in_1_minute,57195300.0
2644,2644,2023-10-24 23:36:00,OANDA:AUDCAD,0.8732,0.87328,0.8732,0.87327,18.0,Interval.in_1_minute,57195360.0
2645,2645,2023-10-24 23:37:00,OANDA:AUDCAD,0.87327,0.87328,0.87325,0.87325,4.0,Interval.in_1_minute,57195420.0
2646,2646,2023-10-24 23:38:00,OANDA:AUDCAD,0.87325,0.87325,0.87316,0.87316,15.0,Interval.in_1_minute,57195480.0
